Change,Excluded,Original,en,it,
NEW,,"A compact audio recorder with 
enhanced sensitivity and noise filtering.","A compact audio recorder with 
enhanced sensitivity and noise filtering.","Un registratore audio compatto con sensibilità
migliorata e filtro del rumore.",
NEW,,"A specialized tonic that 
heightens mental acuity and verbal eloquence.","A specialized tonic that 
heightens mental acuity and verbal eloquence.","Un tonico specializzato che aumenta l'acutezza
mentale e l'eloquenza verbale.",
NEW,,"A network of contacts in 
various sectors of society.","A network of contacts in 
various sectors of society.","Una rete di contatti in vari settori della
società.",
NEW,,"A small kit containing 
disguise materials and quick-change accessories.","A small kit containing 
disguise materials and quick-change accessories.","Un piccolo kit contenente materiali per il
travestimento e accessori a cambio rapido.",
NEW,,"A specially crafted herbal tea
that calms nerves and restores focus.","A specially crafted herbal tea
that calms nerves and restores focus.","Una tisana appositamente formulata che calma i
nervi e ripristina la concentrazione.",
NEW,,"A portable device that can 
detect and analyze various substances.","A portable device that can 
detect and analyze various substances.","Un dispositivo portatile in grado di rilevare e
analizzare varie sostanze.",
NEW,,"A rare herb that enhances 
memory and helps organize thoughts.","A rare herb that enhances 
memory and helps organize thoughts.","Un'erba rara che migliora la memoria e aiuta a
organizzare i pensieri.",
NEW,,"A compact, durable laptop with
specialized software for investigations.","A compact, durable laptop with
specialized software for investigations.","Un portatile compatto e resistente con software
specializzato per le indagini.",
NEW,,"A digital scale with perfect 
accuracy and tamper-proof calibration.","A digital scale with perfect 
accuracy and tamper-proof calibration.","Una bilancia digitale con precisione perfetta e
calibrazione a prova di manomissione.",
NEW,,"A collection of small, 
unmarked packaging materials.","A collection of small, 
unmarked packaging materials.","Una raccolta di piccoli materiali di imballaggio
non contrassegnati.",
NEW,,"A network of reliable street 
informants who provide crucial intelligence.","A network of reliable street 
informants who provide crucial intelligence.","Una rete di informatori di strada affidabili che
forniscono informazioni cruciali.",
NEW,,"A synthetically enhanced 
energy beverage that keeps you alert and focused.","A synthetically enhanced 
energy beverage that keeps you alert and focused.","Una bevanda energetica arricchita sinteticamente
che ti mantiene vigile e concentrato.",
NEW,,"A specially modified 
smartphone with encryption and secure messaging.","A specially modified 
smartphone with encryption and secure messaging.","Uno smartphone appositamente modificato con
crittografia e messaggistica sicura.",
NEW,,"A specialized powder that 
eliminates fingerprints and DNA traces.","A specialized powder that 
eliminates fingerprints and DNA traces.","Una polvere specializzata che elimina impronte
digitali e tracce di DNA.",
NEW,,"A collection of fake IDs, 
licenses, and credentials.","A collection of fake IDs, 
licenses, and credentials.","Una raccolta di documenti d'identità,patenti e
credenziali false.",
NEW,,"A reinforced briefcase with 
hidden compartments and alarm features.","A reinforced briefcase with 
hidden compartments and alarm features.","Una valigetta rinforzata con scomparti nascosti e
funzioni di allarme.",
NEW,,"A collection of premium perfume
samples used to showcase product quality.","A collection of premium perfume
samples used to showcase product quality.","Una collezione di campioni di profumi premium
utilizzati per mostrare la qualità del prodotto.",
NEW,,"A notebook containing coded 
records of transactions and clients.","A notebook containing coded 
records of transactions and clients.","Un quaderno contenente registrazioni codificate di
transazioni e clienti.",
NEW,,"A potent chemical mixture that 
heightens awareness and reflexes.","A potent chemical mixture that 
heightens awareness and reflexes.","Una potente miscela chimica che aumenta la
consapevolezza e i riflessi.",
NEW,,"A collection of routes and 
safe houses throughout the omega tower.","A collection of routes and 
safe houses throughout the omega tower.","Una raccolta di percorsi e rifugi sicuri in tutta
la Torre Omega.",
NEW,,"A specialized kit for testing 
product purity and composition.","A specialized kit for testing 
product purity and composition.","Un kit specializzato per testare la purezza e la
composizione del prodotto.",
NEW,,"A hearty stew with chunks of 
meat and vegetables.","A hearty stew with chunks of 
meat and vegetables.","Uno stufato sostanzioso con pezzi di carne e
verdure.",
NEW,,"A freshly baked loaf of 
bread.
Simple but satisfying.","A freshly baked loaf of 
bread.
Simple but satisfying.","Una pagnotta appena sfornata. Semplice ma
appagante.",
NEW,,"A juicy apple that's perfectly
ripe.","A juicy apple that's perfectly
ripe.",Una mela succosa e perfettamente matura.,
NEW,,"A wheel of cheese made from 
farm-fresh milk.
Rich and filling.","A wheel of cheese made from 
farm-fresh milk.
Rich and filling.","Una forma di formaggio prodotta con latte fresco
di fattoria. Ricca e nutriente.",
NEW,,"Grilled fish caught from local
waters.","Grilled fish caught from local
waters.",Pesce alla griglia pescato nelle acque locali.,
NEW,,"A bottle of sweet honey 
harvested from forest hives.","A bottle of sweet honey 
harvested from forest hives.","Una bottiglia di miele dolce raccolto dagli
alveari della foresta.",
NEW,,"Crunchy nuts gathered from 
ancient trees.","Crunchy nuts gathered from 
ancient trees.",Noci croccanti raccolte da alberi secolari.,
NEW,,"A sweet pastry filled with 
fruit jam.","A sweet pastry filled with 
fruit jam.","Un dolce di pasta sfoglia ripieno di marmellata di
frutta.",
NEW,,"A refreshing medicinal tea 
made from rare herbs.","A refreshing medicinal tea 
made from rare herbs.","Una tisana medicinale rinfrescante a base di erbe
rare.",
NEW,,"A spicy dish that sets the 
taste buds on fire.","A spicy dish that sets the 
taste buds on fire.","Un piatto piccante che infiamma le papille
gustative.",
NEW,,"A handful of berries picked 
from mountain bushes.","A handful of berries picked 
from mountain bushes.","Una manciata di bacche raccolte dai cespugli di
montagna.",
NEW,,"A ceremonial drink brewed from
ancient recipes.","A ceremonial drink brewed from
ancient recipes.","Una bevanda cerimoniale preparata secondo antiche
ricette.",
NEW,,"A roasted vegetable dish with 
savory herbs.","A roasted vegetable dish with 
savory herbs.","Un piatto di verdure arrostite con erbe
aromatiche.",
NEW,,"A luxurious chocolate dessert 
made by master confectioners.","A luxurious chocolate dessert 
made by master confectioners.","Un lussuoso dessert al cioccolato preparato da
maestri pasticceri.",
NEW,,"A hearty meat pie with flaky 
crust.","A hearty meat pie with flaky 
crust.","Una sostanziosa torta di carne con crosta
friabile.",
NEW,,"Clear, refreshing water from a
mountain spring.","Clear, refreshing water from a
mountain spring.","Acqua limpida e rinfrescante da una sorgente di
montagna.",
NEW,,"A sweet and tangy fruit punch 
made from local berries.","A sweet and tangy fruit punch 
made from local berries.","Un punch alla frutta dolce e aspro, preparato con
bacche locali.",
NEW,,"A thick, creamy milk from 
grass-fed cows.","A thick, creamy milk from 
grass-fed cows.","Un latte denso e cremoso proveniente da mucche di
northpoint.",
NEW,,"A soothing herbal tea with 
minty undertones.","A soothing herbal tea with 
minty undertones.",Una tisana rilassante con note di menta.,
NEW,,"A bright, citrusy lemonade 
made from fresh lemons.","A bright, citrusy lemonade 
made from fresh lemons.","Una limonata vivace e agrumata, preparata con
limoni freschi.",
NEW,,"A rich, caffeinated brew that 
awakens the senses.","A rich, caffeinated brew that 
awakens the senses.","Una bevanda ricca e caffeinata che risveglia i
sensi.",
NEW,,"A sweet coconut milk drink 
with tropical flavors.","A sweet coconut milk drink 
with tropical flavors.","Una bevanda dolce al latte di cocco con sapori
tropicali.",
NEW,,"A hot chocolate drink with 
whipped cream on top.","A hot chocolate drink with 
whipped cream on top.","Una bevanda calda al cioccolato con panna montata
sopra.",
NEW,,"A strong, amber ale brewed by 
local craftsmen.","A strong, amber ale brewed by 
local craftsmen.","Una birra forte e ambrata, prodotta da artigiani
locali.",
NEW,,"A fine wine aged in oak 
barrels.","A fine wine aged in oak 
barrels.",Un vino pregiato invecchiato in botti di rovere.,
NEW,,"A potent spirit distilled from
fermented grain.","A potent spirit distilled from
fermented grain.",Un potente distillato di grano fermentato.,
NEW,,"A light, bubbly mead made from
honey.","A light, bubbly mead made from
honey.",Un idromele leggero e frizzante a base di miele.,
NEW,,"A fiery, colorful cocktail 
with exotic spices.","A fiery, colorful cocktail 
with exotic spices.","Un cocktail infuocato e colorato con spezie
esotiche.",
NEW,,"An ancient brew said to be 
favored by berserkers.","An ancient brew said to be 
favored by berserkers.","Un'antica bevanda che si dice fosse preferita dai
berserker.",
NEW,,"A fizzy, carbonated drink with
sweet fruit flavors.","A fizzy, carbonated drink with
sweet fruit flavors.","Una bevanda frizzante e gassata con gusti di
frutta dolce.",
NEW,,"Classic pasta with rich tomato
sauce and herbs.","Classic pasta with rich tomato
sauce and herbs.","Pasta classica con ricco sugo di pomodoro ed erbe
aromatiche.",
NEW,,"Fresh pizza topped with 
mozzarella and basil.","Fresh pizza topped with 
mozzarella and basil.",Pizza fresca condita con mozzarella e basilico.,
NEW,,"Creamy rice dish cooked with 
mushrooms and Parmesan.","Creamy rice dish cooked with 
mushrooms and Parmesan.","Piatto di riso cremoso cucinato con funghi e
parmigiano.",
NEW,,"Thin slices of beef topped 
with arugula and Parmesan.","Thin slices of beef topped 
with arugula and Parmesan.","Fette sottili di manzo condite con rucola e
parmigiano.",
NEW,,"Fried rice balls stuffed with 
cheese and meat.","Fried rice balls stuffed with 
cheese and meat.","Palline di riso fritte ripiene di formaggio e
carne.",
NEW,,"Rich layers of pasta, sauce, 
and cheese.","Rich layers of pasta, sauce, 
and cheese.",Ricchi strati di pasta,
NEW,,"Crispy bread topped with 
tomatoes and olive oil.","Crispy bread topped with 
tomatoes and olive oil.","Pane croccante condito con pomodori e olio
d'oliva.",
NEW,,"Sweet custard dessert with 
caramelized sugar.","Sweet custard dessert with 
caramelized sugar.","Dessert dolce a base di crema pasticcera con
zucchero caramellato.",
NEW,,"Coffee-flavored dessert with 
layers of mascarpone.","Coffee-flavored dessert with 
layers of mascarpone.","Dessert al gusto di caffè con strati di
mascarpone.",
NEW,,"Pasta shells stuffed with 
cheese and herbs.","Pasta shells stuffed with 
cheese and herbs.","Conchiglie di pasta ripiene di formaggio ed erbe
aromatiche.",
NEW,,"Thin slices of cured ham with 
melon.","Thin slices of cured ham with 
melon.",Fette sottili di prosciutto crudo con melone.,
NEW,,"Crispy seafood and vegetable 
fritters.","Crispy seafood and vegetable 
fritters.",Frittelle croccanti di pesce e verdure.,
NEW,,"Slowly cooked veal shanks with
gremolata.","Slowly cooked veal shanks with
gremolata.",Stinco di vitello cotto lentamente con gremolada.,
NEW,,"Pasta with egg, cheese, 
pancetta, and pepper.","Pasta with egg, cheese, 
pancetta, and pepper.",Pasta con uovo,
NEW,,"Crispy fried bread dough 
drizzled with honey.","Crispy fried bread dough 
drizzled with honey.","Croccante impasto di pane fritto con un filo di
miele.",
NEW,,"A masterfully prepared steak 
with truffle butter.","A masterfully prepared steak 
with truffle butter.","Una bistecca preparata magistralmente con burro al
tartufo.",
NEW,,"Delicate fish eggs with subtle
briny flavor.","Delicate fish eggs with subtle
briny flavor.","Delicate uova di pesce dal delicato sapore
salmastro.",
NEW,,"Black truffles elegantly 
folded into creamy risotto.","Black truffles elegantly 
folded into creamy risotto.","Tartufi neri elegantemente amalgamati in un
cremoso risotto.",
NEW,,"Decadent duck liver pâté with 
cognac jelly.","Decadent duck liver pâté with 
cognac jelly.","Delizioso paté di fegato d'anatra con gelatina al
cognac.",
NEW,,"Perfectly tender lobster in 
rich butter sauce.","Perfectly tender lobster in 
rich butter sauce.",Aragosta tenerissima in una ricca salsa al burro.,
NEW,,"Rare mushrooms sautéed with 
herbs and garlic.","Rare mushrooms sautéed with 
herbs and garlic.",Funghi rari saltati con erbe aromatiche e aglio.,
NEW,,"Exquisite saffron-infused 
seafood stew.","Exquisite saffron-infused 
seafood stew.",Squisito stufato di pesce allo zafferano.,
NEW,,"A perfect chocolate dessert 
with gold leaf.","A perfect chocolate dessert 
with gold leaf.","Un dessert al cioccolato perfetto con foglia
d'oro.",
NEW,,"A symphony of flavors with 
edible flowers.","A symphony of flavors with 
edible flowers.",Una sinfonia di sapori con fiori commestibili.,
NEW,,"Premium beef slow-cooked to 
perfection.","Premium beef slow-cooked to 
perfection.","Manzo di prima qualità cotto lentamente alla
perfezione.",
NEW,,"Exotic fruits sculpted into an
edible masterpiece.","Exotic fruits sculpted into an
edible masterpiece.","Frutti esotici trasformati in un capolavoro
commestibile.",
NEW,,"Delicate sweet with an 
extraordinary flavor profile.","Delicate sweet with an 
extraordinary flavor profile.","Delicato e dolce con uno straordinario profilo
aromatico.",
NEW,,"A masterpiece of molecular 
gastronomy with smoke.","A masterpiece of molecular 
gastronomy with smoke.",Un capolavoro di gastronomia molecolare con fumo.,
NEW,,"Tender duck glazed with cherry
and star anise.","Tender duck glazed with cherry
and star anise.","Tenera anatra glassata con ciliegie e anice
stellato.",
NEW,,"The rarest coffee beans, 
perfectly prepared.","The rarest coffee beans, 
perfectly prepared.","I chicchi di caffè più rari, preparati alla
perfezione.",
NEW,,"A juicy burger with cheese, 
lettuce, and special sauce.","A juicy burger with cheese, 
lettuce, and special sauce.","Un hamburger succulento con formaggio, lattuga e
salsa speciale.",
NEW,,"Crispy, golden fries with salt
and ketchup.","Crispy, golden fries with salt
and ketchup.","Patatine fritte croccanti e dorate con sale e
ketchup.",
NEW,,"Fried chicken pieces with a 
crunchy coating.","Fried chicken pieces with a 
crunchy coating.","Bocconcini di pollo fritti con una panatura
croccante.",
NEW,,"A large, sweet carbonated 
drink.","A large, sweet carbonated 
drink.",Una bevanda gassata,
NEW,,"Thin-crust pizza with 
pepperoni and extra cheese.","Thin-crust pizza with 
pepperoni and extra cheese.",Pizza sottile con pepperoni e formaggio extra.,
NEW,,"A soft, warm pretzel with salt
and cheese dip.","A soft, warm pretzel with salt
and cheese dip.","Un pretzel morbido e caldo con salsa al sale e
formaggio.",
NEW,,"Deep-fried spicy chicken in a 
soft bun with sauce.","Deep-fried spicy chicken in a 
soft bun with sauce.","Pollo piccante fritto in un panino morbido con
salsa.",
NEW,,"Crispy onion rings battered 
and deep-fried.","Crispy onion rings battered 
and deep-fried.",Anelli di cipolla croccanti impanati e fritti.,
NEW,,"A frozen sweet treat with 
chocolate syrup.","A frozen sweet treat with 
chocolate syrup.",Una delizia ghiacciata con sciroppo di cioccolato.,
NEW,,"A soft-shell taco with 
seasoned meat and cheese.","A soft-shell taco with 
seasoned meat and cheese.",Un taco morbido con carne e formaggio conditi.,
NEW,,"Deep-fried mozzarella sticks 
with marinara sauce.","Deep-fried mozzarella sticks 
with marinara sauce.","Bastoncini di mozzarella fritti con salsa
marinara.",
NEW,,"A sugary pastry with colorful 
sprinkles.","A sugary pastry with colorful 
sprinkles.","Una pasta sfoglia zuccherata con granelli
colorati.",
NEW,,"A fully loaded meal deal with 
burger, fries, and drink.","A fully loaded meal deal with 
burger, fries, and drink.","Un pasto completo con hamburger, patatine fritte e
bibita.",
NEW,,"A breakfast sandwich with egg,
cheese, and bacon.","A breakfast sandwich with egg,
cheese, and bacon.","Un panino per la colazione con uovo, formaggio e
pancetta.",
NEW,,"A sweet, rich ice cream sundae
with toppings.","A sweet, rich ice cream sundae
with toppings.",Una coppa gelato dolce e ricca con guarnizioni.,
NEW,,"A stale, hardened bread that 
might break teeth.","A stale, hardened bread that 
might break teeth.","Un pane raffermo e indurito che potrebbe romperti
i denti.",
NEW,,"A strange meat of dubious 
origin.","A strange meat of dubious 
origin.",Una strana carne di dubbia origine.,
NEW,,"Yesterday's leftovers mixed 
into an unidentifiable slop.","Yesterday's leftovers mixed 
into an unidentifiable slop.","Gli avanzi di ieri si sono mescolati in un ammasso
indefinito.",
NEW,,"Watery broth with floating 
bits of something...","Watery broth with floating 
bits of something...","Brodo acquoso con pezzetti di qualcosa che
galleggiano...",
NEW,,"Moldy cheese that should have 
been thrown away.","Moldy cheese that should have 
been thrown away.","Formaggio ammuffito che avrebbe dovuto essere
buttato via.",
NEW,,"Beans burnt beyond 
recognition.
Crunchy in all the wrong ways.","Beans burnt beyond 
recognition.
Crunchy in all the wrong ways.","Fagioli bruciati irriconoscibili, croccanti nel
modo sbagliato.",
NEW,,"Fish that's been sitting out 
too long.","Fish that's been sitting out 
too long.",Pesce rimasto fuori troppo a lungo.,
NEW,,"Tasteless mush with lumps 
throughout.","Tasteless mush with lumps 
throughout.",Poltiglia insapore con grumi dappertutto.,
NEW,,"Water with a few questionable 
vegetables floating in it.","Water with a few questionable 
vegetables floating in it.",Acqua con qualche verdura dubbia che galleggiava.,
NEW,,"A sad-looking potato that's 
been sitting around.","A sad-looking potato that's 
been sitting around.","Una patata dall'aspetto triste che è rimasta in
giro.",
NEW,,"A mushy apple with brown spots
throughout.","A mushy apple with brown spots
throughout.",Una mela molle con macchie marroni tutta intorno.,
NEW,,"Burned beyond recognition, but
still edible.","Burned beyond recognition, but
still edible.",Bruciato irriconoscibile,
NEW,,"The cheapest meat substitute 
imaginable.","The cheapest meat substitute 
imaginable.","Il sostituto della carne più economico che si
possa immaginare.",
NEW,,"Has a greenish tint and smells
like feet.","Has a greenish tint and smells
like feet.",Ha una sfumatura verdastra e ha un odore di piedi.,
NEW,,"The absolute worst food 
imaginable.","The absolute worst food 
imaginable.",Il peggior cibo che si possa immaginare.,
NEW,,"Mass-produced canned meat with
preservatives.","Mass-produced canned meat with
preservatives.","Carne in scatola prodotta in serie con
conservanti.",
NEW,,"Cheese-flavored snack with 
artificial coloring.","Cheese-flavored snack with 
artificial coloring.","Snack al gusto di formaggio con coloranti
artificiali.",
NEW,,"Pre-packaged noodles with 
flavor packet.","Pre-packaged noodles with 
flavor packet.",Noodles preconfezionati con bustina di aroma.,
NEW,,"Artificially colored sugar 
water with preservatives.","Artificially colored sugar 
water with preservatives.","Acqua zuccherata colorata artificialmente con
conservanti.",
NEW,,"Compressed nutrition bar with 
synthetic vitamins.","Compressed nutrition bar with 
synthetic vitamins.","Barretta nutrizionale compressa con vitamine
sintetiche.",
NEW,,"A breakfast cereal with 
artificial colors and flavors.","A breakfast cereal with 
artificial colors and flavors.","Cereali per la colazione con coloranti e aromi
artificiali.",
NEW,,"A pastry that never seems to 
expire.","A pastry that never seems to 
expire.",Un dolce che sembra non scadere mai.,
NEW,,"Pre-cooked, frozen, and 
reheated meat patty.","Pre-cooked, frozen, and 
reheated meat patty.","Polpetta di carne precotta, congelata e
riscaldata.",
NEW,,"Vegetables preserved in salt 
and chemicals.","Vegetables preserved in salt 
and chemicals.","Verdure conservate sotto sale e con prodotti
chimici.",
NEW,,"Fruit-flavored gelatin with 
artificial colors.","Fruit-flavored gelatin with 
artificial colors.","Gelatina al gusto di frutta con coloranti
artificiali.",
NEW,,"Reconstituted potato substance
formed into chips.","Reconstituted potato substance
formed into chips.","Sostanza di patata ricostituita trasformata in
patatine.",
NEW,,"A frozen meal heated in 
minutes.","A frozen meal heated in 
minutes.",Un pasto surgelato pronto in pochi minuti.,
NEW,,"Synthetic meat alternative 
made from soy protein.","Synthetic meat alternative 
made from soy protein.","Alternativa sintetica alla carne a base di
proteine ​​di soia.",
NEW,,"Chocolate-like substance that 
doesn't quite melt.","Chocolate-like substance that 
doesn't quite melt.","Sostanza simile al cioccolato che non si scioglie
del tutto.",
NEW,,"Military-grade long-lasting 
complete meal.","Military-grade long-lasting 
complete meal.",Pasto completo di qualità militare a lunga durata.,
NEW,,"A shimmering blue fruit with 
crystalline flesh.","A shimmering blue fruit with 
crystalline flesh.",Un frutto blu scintillante con polpa cristallina.,
NEW,,"A rare fruit that grows only 
in moonlight.","A rare fruit that grows only 
in moonlight.",Un frutto raro che cresce solo al chiaro di luna.,
NEW,,"A spiral-shaped purple fruit 
with hypnotic patterns.","A spiral-shaped purple fruit 
with hypnotic patterns.","Un frutto viola a forma di spirale con motivi
ipnotici.",
NEW,,"A fiery red fruit that 
sparkles with energy.","A fiery red fruit that 
sparkles with energy.",Un frutto rosso fuoco che brilla di energia.,
NEW,,"A golden fruit from the 
highest mountains.","A golden fruit from the 
highest mountains.","Un frutto dorato proveniente dalle montagne più
alte.",
NEW,,"A translucent fruit filled 
with rainbow nectar.","A translucent fruit filled 
with rainbow nectar.",Un frutto traslucido pieno di nettare arcobaleno.,
NEW,,"A multi-chambered fruit with 
pulsing blue membranes.","A multi-chambered fruit with 
pulsing blue membranes.",Un frutto con membrane blu pulsanti.,
NEW,,"A black, star-shaped fruit 
with tiny pinpoints of light.","A black, star-shaped fruit 
with tiny pinpoints of light.","Un frutto nero a forma di stella con minuscoli
puntini di luce.",
NEW,,"A floating, airy fruit that 
defies gravity.","A floating, airy fruit that 
defies gravity.","Un frutto galleggiante e arioso che sfida la
gravità.",
NEW,,"A shimmering fruit that 
changes colors as it ripens.","A shimmering fruit that 
changes colors as it ripens.","Un frutto scintillante che cambia colore man mano
che matura.",
NEW,,"A fruit from the deepest ocean
trenches.","A fruit from the deepest ocean
trenches.","Un frutto proveniente dalle fosse oceaniche più
profonde.",
NEW,,"A mythical fruit said to grow 
only in fairy realms.","A mythical fruit said to grow 
only in fairy realms.","Un frutto mitico che si dice cresca solo nei regni
delle fate.",
NEW,,"A tiny, vibrant fruit that 
grows in volcanic soil.","A tiny, vibrant fruit that 
grows in volcanic soil.","Un frutto piccolo e vivace che cresce nel terreno
vulcanico.",
NEW,,"A legendary fruit that appears
only during eclipses.","A legendary fruit that appears
only during eclipses.","Un frutto leggendario che appare solo durante le
eclissi.",
NEW,,"A fruit that only ripens at 
the stroke of midnight.","A fruit that only ripens at 
the stroke of midnight.","Un frutto che matura solo allo scoccare della
mezzanotte.",
NEW,,"A rare delicacy of raw fish 
and seasoned rice.","A rare delicacy of raw fish 
and seasoned rice.","Una rara prelibatezza di pesce crudo e riso
condito.",
NEW,,"Fragrant rice cooked with 
spices and vegetables.","Fragrant rice cooked with 
spices and vegetables.",Riso profumato cucinato con spezie e verdure.,
NEW,,"Small steamed dumplings filled
with exotic ingredients.","Small steamed dumplings filled
with exotic ingredients.","Piccoli ravioli al vapore ripieni di ingredienti
esotici.",
NEW,,"Slow-cooked meat stew with 
olives and preserved lemons.","Slow-cooked meat stew with 
olives and preserved lemons.","Spezzatino di carne cotto lentamente con olive e
limoni sciroppati.",
NEW,,"Fermented cabbage with a spicy
kick.
Tangy and invigorating.","Fermented cabbage with a spicy
kick.
Tangy and invigorating.","Cavolo fermentato con un tocco piccante. piccante
e corroborante.",
NEW,,"Grilled meat skewers with 
exotic spices.","Grilled meat skewers with 
exotic spices.","Spiedini di carne alla griglia con spezie
esotiche.",
NEW,,"Sweet, stretchy ice cream with
unique texture.","Sweet, stretchy ice cream with
unique texture.",Gelato dolce ed elastico dalla consistenza unica.,
NEW,,"Thin pastry layered with nuts 
and honey.","Thin pastry layered with nuts 
and honey.","Sottile sfoglia di pasta sfoglia ricoperta di noci
e miele.",
NEW,,"Spicy soup with coconut milk 
and exotic herbs.","Spicy soup with coconut milk 
and exotic herbs.","Zuppa piccante con latte di cocco ed erbe
esotiche.",
NEW,,"Flatbread stuffed with spiced 
potatoes and vegetables.","Flatbread stuffed with spiced 
potatoes and vegetables.",Pane piatto ripieno di patate e verdure speziate.,
NEW,,"Assorted tropical fruits with 
a hint of lime and spice.","Assorted tropical fruits with 
a hint of lime and spice.","Frutta tropicale assortita con un pizzico di lime
e spezie.",
NEW,,"Grilled fish wrapped in banana
leaves with herbs.","Grilled fish wrapped in banana
leaves with herbs.","Pesce alla griglia avvolto in foglie di banano con
erbe aromatiche.",
NEW,,"A rich stew of okra, 
vegetables, and shrimp.","A rich stew of okra, 
vegetables, and shrimp.",Un ricco stufato di okra,
NEW,,"Fresh vegetables and herbs 
rolled in rice paper.","Fresh vegetables and herbs 
rolled in rice paper.","Verdure fresche ed erbe aromatiche avvolte in
carta di riso.",
NEW,,"The world's most expensive 
coffee with unique flavor.","The world's most expensive 
coffee with unique flavor.",Il caffè più costoso al mondo,
NEW,,"Tender slices of beef in a 
savory broth with noodles.","Tender slices of beef in a 
savory broth with noodles.","Teneri pezzi di manzo in un brodo saporito con
noodles.",
NEW,,"Sticky rice with sweet mango 
and coconut cream.","Sticky rice with sweet mango 
and coconut cream.",Riso glutinoso con mango dolce e crema di cocco.,
NEW,,"Bite-sized pork dumplings with
a savory filling.","Bite-sized pork dumplings with
a savory filling.","Bocconcini di gnocchi di maiale con un ripieno
saporito.",
NEW,,"Thinly sliced raw fish served 
on seasoned rice.","Thinly sliced raw fish served 
on seasoned rice.","Pesce crudo tagliato sottile servito su riso
condito.",
NEW,,"Stir-fried noodles with 
vegetables and protein.","Stir-fried noodles with 
vegetables and protein.",Noodles saltati in padella con verdure e proteine.,
NEW,,"Hot stone bowl with rice, 
vegetables, and egg.","Hot stone bowl with rice, 
vegetables, and egg.",Ciotola di pietra calda con riso,
NEW,,"Thinly-sliced beef and 
vegetables served with sauce.","Thinly-sliced beef and 
vegetables served with sauce.","Manzo e verdure tagliate sottili, servite con
salsa.",
NEW,,"Soft tofu in a spicy, bubbling
stew with seafood.","Soft tofu in a spicy, bubbling
stew with seafood.","Tofu morbido in uno stufato piccante e
gorgogliante con frutti di mare.",
NEW,,"Crispy duck with thin pancakes
and hoisin sauce.","Crispy duck with thin pancakes
and hoisin sauce.","Anatra croccante con frittelle sottili e salsa
hoisin.",
NEW,,"Chewy rice cakes in a sweet 
red bean soup.","Chewy rice cakes in a sweet 
red bean soup.","Frittelle di riso gommose in una dolce zuppa di
fagioli rossi.",
NEW,,"Crispy meats and vegetables 
with a tangy sauce.","Crispy meats and vegetables 
with a tangy sauce.",Carne e verdure croccanti con una salsa piccante.,
NEW,,"Savory pancakes filled with 
seafood and vegetables.","Savory pancakes filled with 
seafood and vegetables.","Frittelle salate ripiene di frutti di mare e
verdure.",
NEW,,"A sour and spicy soup with 
prawns and lemongrass.","A sour and spicy soup with 
prawns and lemongrass.",Una zuppa agrodolce con gamberi e citronella.,
NEW,,"Bite-sized steamed buns with a
sweet filling.","Bite-sized steamed buns with a
sweet filling.","Bocconcini di panini al vapore con un ripieno
dolce.",
NEW,,"Slow-cooked meat with aromatic
five-spice blend.","Slow-cooked meat with aromatic
five-spice blend.","Carne cotta lentamente con una miscela aromatica
di cinque spezie.",
NEW,,"A massive roasted leg of wild 
boar.","A massive roasted leg of wild 
boar.",Un'enorme coscia di cinghiale arrosto.,
NEW,,"Game birds slow-cooked in rich
wine sauce.","Game birds slow-cooked in rich
wine sauce.","Selvaggina cotta lentamente in una ricca salsa al
vino.",
NEW,,"Tender venison stewed with 
root vegetables.","Tender venison stewed with 
root vegetables.","Tenera carne di cervo stufata con verdure a
radice.",
NEW,,"Meat sealed in pastry with 
spices and gravy.","Meat sealed in pastry with 
spices and gravy.","Carne sigillata in pasta sfoglia con spezie e
sugo.",
NEW,,"A rich mixture of game meats 
stewed together.","A rich mixture of game meats 
stewed together.","Un ricco mix di carni di selvaggina stufate
insieme.",
NEW,,"Rabbit meat slow-roasted with 
herbs and bacon.","Rabbit meat slow-roasted with 
herbs and bacon.","Carne di coniglio cotta lentamente con erbe
aromatiche e pancetta.",
NEW,,"Pigeon wrapped in bacon and 
roasted to perfection.","Pigeon wrapped in bacon and 
roasted to perfection.","Piccione avvolto nella pancetta e arrostito alla
perfezione.",
NEW,,"A rare delicacy of bear meat 
preserved in salt.","A rare delicacy of bear meat 
preserved in salt.","Una rara prelibatezza di carne d'orso conservata
sotto sale.",
NEW,,"Meat from the prized forest 
stag, spit-roasted.","Meat from the prized forest 
stag, spit-roasted.",Carne di cervo pregiato,
NEW,,"Tender deer heart, considered 
a trophy by hunters.","Tender deer heart, considered 
a trophy by hunters.","Tenero cuore di cervo, considerato un trofeo dai
cacciatori.",
NEW,,"Wild mountain goat slowly 
simmered until tender.","Wild mountain goat slowly 
simmered until tender.","Capra selvatica di montagna cotta a fuoco lento
finché non diventa tenera.",
NEW,,"Intestines stuffed with minced
meat and herbs.","Intestines stuffed with minced
meat and herbs.","Intestini ripieni di carne macinata ed erbe
aromatiche.",
NEW,,"Meat dried in strips with salt
and spices.","Meat dried in strips with salt
and spices.",Carne essiccata a strisce con sale e spezie.,
NEW,,"The fatty neck meat of a 
forest boar, smoked.","The fatty neck meat of a 
forest boar, smoked.","La carne grassa del collo di un cinghiale
selvatico, affumicata.",
NEW,,"A royal dish of swan prepared 
for feasts.","A royal dish of swan prepared 
for feasts.","Un piatto reale a base di cigno preparato per le
feste.",
